Url,Title,Description,PriceList,Ratings,No of reiviewa
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-combination/dp/B09VCHV6T5/ref=sr_1_80?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-80,TRUE HUMAN,"Emperor ( ZYDEN ) Anti-Theft backpack with combination lock Laptop bag , office bag college bags ",689,4.1 out of 5 stars,222
https://www.amazon.in/Clownfish-Sovereign-Leather-Backpack-Laptops/dp/B08B3GL2QF/ref=sr_1_81?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-81,The Clownfish,Fredrick 27 liters Faux Leather Mature Laptop Backpack for Men and Women for 15.6 Inch Laptops (Hickory) ,"1,059",3.8 out of 5 stars,"2,524"
https://www.amazon.in/Capriff-Liters-Collage-travell-Backpack/dp/B084T7X2HX/ref=sr_1_82?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-82,CAPRIFF,32 L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment ,509,4.0 out of 5 stars,28
https://www.amazon.in/uppercase-Backpack-2500EBP1-repellent-sustainable/dp/B0B81YTTWS/ref=sr_1_83?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-83,uppercase,"Medium 23L Tall Boy Laptop Backpack 2500EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty ","1,550",4.1 out of 5 stars,282
https://www.amazon.in/Aristocrat-Ltrs-Navy-Rucksack-Hunk/dp/B07VHMBWM6/ref=sr_1_84?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-84,Aristocrat,55 cms Navy Blue Rucksack (Hunk) ,"1,599",4.3 out of 5 stars,47
https://www.amazon.in/uppercase-Backpack-2300EBP1-repellent-sustainable/dp/B0B68Z3X7D/ref=sr_1_85?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-85,uppercase,"Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Blue) ","1,400",4.0 out of 5 stars,643
https://www.amazon.in/Safari-HiTech-Water-Resistant-Backpack/dp/B09B27B1Q6/ref=sr_1_86?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-86,Safari,"HiTech 35 Ltrs Water Resistant Backpack - Blue, L (HITECH19CBBLU) ",999,4.0 out of 5 stars,351
https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5/ref=sr_1_87?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-87,Safari,"Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA) ",649,4.0 out of 5 stars,"4,362"
https://www.amazon.in/Dell-Essential-Backpack-15-ES1520P/dp/B07TTCXHRH/ref=sr_1_88?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-88,Dell,Dell Essential Backpack 15 (ES1520P) ,"1,210",4.2 out of 5 stars,"4,808"
https://www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN/ref=sr_1_89?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-89,POLICE,30 Ltrs Laptop Backpack ,"1,399",3.7 out of 5 stars,41
